prefecture,name,address,landmark
北海道,第5白龍(ウグ・ヨルチ),北海道上川郡東川町,大雪山(白雲岳山頂 2230m)
北海道,第9白麟(ネオア・ユキ),北海道根室市色丹島,龍神島最東端のエイタンノット岬
北海道,第5白鳳(ロヨゼコプル),北海道沙流郡平取町,日高山脈幌尻岳(2052m)の山頂
北海道,第6白銀龍(ネアブアイア),北海道上川郡上川町層雲峡,大雪ダム湖の石狩川源流点
北海道,第4白銀麟(バイウル),北海道上川郡美瑛町東町,美瑛神社敷地内(本殿の裏地)
北海道,第6白銀鳳(ビオルケグノ),北海道河東郡鹿追町,然別湖(湖畔北西部の沢)
北海道,第4銀龍(ナウエリ),北海道川上郡弟子屈町,摩周湖(中島: カムイシュ島)
北海道,第2銀武(キエスアケギ),北海道空知郡南富良野町,芦別岳(1726m)の山頂
北海道,第8金麟(ハオヨオ),北海道上川郡弟子屈町,屈斜路湖北岸(シケレペンベツ川河口付近)
北海道,第2金武(ガザジー),北海道札幌市中央区宮ヶ丘,北海道神宮境内の池
北海道,第1紫麟(ネクレ・ニエルリ),北海道利尻郡利尻町,利尻山(1721m)の山頂
北海道,第1紫武(ヘイカナイレ),北海道斜里郡斜里町遠音別村,知床岬の突端の岩場
北海道,第4群青鳳(ヨエイヒケル),北海道上川郡弟子屈町札友内,釧路川湿原(美留川合流点の下流500m)
北海道,第2青龍(クア),北海道稚内市宗谷岬,宗谷岬の突端の岩場(日本最北端)
北海道,第7青麟(フゲエフルン),北海道松前郡松前町字白神,白神岬の突端の岩場
北海道,第5青鳳(プエリピオ),北海道幌泉郡えりも町,襟裳岬の突端の岩場(北海道最南端)
北海道,第8青鳳(ヤフイリンオ),北海道積丹郡積丹町神崎草内,神威岬の先端部の岩場
北海道,第4青武(フエリン),北海道室蘭市母恋南町,地球岬の突端岩場
北海道,第8青武(ツオイヒルイ),北海道奥尻郡奥尻町宮津,宮津弁天の岩場
北海道,第7緑龍(ヒウゲイルア),北海道天塩郡幌延町,パンケ沼の中央湖底
北海道,第9緑鳳(ヨウゲギール),北海道斜里郡斜里町遠音別村,知床五湖の中の(三湖)
北海道,第5緑武(ケオイリーケ),北海道苫小牧市字植苗,ウトナイ湖の湖底
北海道,第2黄麟(キーリ),北海道上川郡上川町層雲峡,層雲峡の大函(おおばこ)峡
北海道,第7黄武(レーゲアオル),北海道勇払郡占冠村シムカップ,赤岩青巖(せいがん)峡の二つ岩の流域
