prefecture,name,address,landmark,lat,lng,geocode_status,geocoded_address
北海道,第5白龍(ウグ・ヨルチ),北海道上川郡東川町,大雪山(白雲岳山頂 2230m),43.6991046,142.5104152,ok,"東川町, 上川郡(石狩国), 上川総合振興局, 北海道, 北海道地方, 日本"
北海道,第9白麟(ネオア・ユキ),北海道根室市色丹島,龍神島最東端のエイタンノット岬,,,failed,
北海道,第5白鳳(ロヨゼコプル),北海道沙流郡平取町,日高山脈幌尻岳(2052m)の山頂,42.5849386,142.12839,ok,"平取町, 沙流郡, 日高振興局, 北海道, 北海道地方, 日本"
北海道,第6白銀龍(ネアブアイア),北海道上川郡上川町層雲峡,大雪ダム湖の石狩川源流点,43.727881,142.951303,ok,"層雲峡, 国道39号, 層雲峡, 上川町, 上川郡(石狩国), 上川総合振興局, 北海道, 北海道地方, 078-1792, 日本"
北海道,第4白銀麟(バイウル),北海道上川郡美瑛町東町,美瑛神社敷地内(本殿の裏地),43.5907565,142.4765284,ok,"東町通, 東町二丁目, 字美瑛原野, 美瑛町, 上川郡(石狩国), 上川総合振興局, 北海道, 北海道地方, 071-0218, 日本"
北海道,第6白銀鳳(ビオルケグノ),北海道河東郡鹿追町,然別湖(湖畔北西部の沢),43.0988181,142.9888511,ok,"鹿追町, 河東郡, 十勝総合振興局, 北海道, 北海道地方, 日本"
北海道,第4銀龍(ナウエリ),北海道川上郡弟子屈町,摩周湖(中島: カムイシュ島),43.4843593,144.4592788,ok,"弟子屈警察署, 28, 中央二丁目, 弟子屈町, 川上郡, 釧路総合振興局, 北海道, 北海道地方, 088-3211, 日本"
北海道,第2銀武(キエスアケギ),北海道空知郡南富良野町,芦別岳(1726m)の山頂,43.1641782,142.5680408,ok,"南富良野町, 空知郡, 上川総合振興局, 北海道, 北海道地方, 079-2400, 日本"
北海道,第8金麟(ハオヨオ),北海道上川郡弟子屈町,屈斜路湖北岸(シケレペンベツ川河口付近),43.4843593,144.4592788,ok,"弟子屈警察署, 28, 中央二丁目, 弟子屈町, 川上郡, 釧路総合振興局, 北海道, 北海道地方, 088-3211, 日本"
北海道,第2金武(ガザジー),北海道札幌市中央区宮ヶ丘,北海道神宮境内の池,43.051478,141.306634,ok,"宮ケ丘, 中央区, 札幌市, 石狩振興局, 北海道, 北海道地方, 064-0959, 日本"
北海道,第1紫麟(ネクレ・ニエルリ),北海道利尻郡利尻町,利尻山(1721m)の山頂,45.187034,141.1396291,ok,"利尻町, 利尻郡, 宗谷総合振興局, 北海道, 北海道地方, 097-0401, 日本"
北海道,第1紫武(ヘイカナイレ),北海道斜里郡斜里町遠音別村,知床岬の突端の岩場,44.20071,145.239501,ok,"遠音別村, 斜里町, 斜里郡, オホーツク総合振興局, 北海道, 北海道地方, 日本"
北海道,第4群青鳳(ヨエイヒケル),北海道上川郡弟子屈町札友内,釧路川湿原(美留川合流点の下流500m),43.5232364,144.4080906,ok,"札友内, 弟子屈町, 川上郡, 釧路総合振興局, 北海道, 北海道地方, 088-3201, 日本"
北海道,第2青龍(クア),北海道稚内市宗谷岬,宗谷岬の突端の岩場(日本最北端),45.5228863,141.9366,ok,"宗谷岬, 稚内市, 宗谷総合振興局, 北海道, 日本"
北海道,第7青麟(フゲエフルン),北海道松前郡松前町字白神,白神岬の突端の岩場,41.4135418,140.1745286,ok,"白神, 松前町, 松前郡, 渡島総合振興局, 北海道, 北海道地方, 049-1524, 日本"
北海道,第5青鳳(プエリピオ),北海道幌泉郡えりも町,襟裳岬の突端の岩場(北海道最南端),,,failed,
北海道,第8青鳳(ヤフイリンオ),北海道積丹郡積丹町神崎草内,神威岬の先端部の岩場,,,failed,
北海道,第4青武(フエリン),北海道室蘭市母恋南町,地球岬の突端岩場,,,failed,
北海道,第8青武(ツオイヒルイ),北海道奥尻郡奥尻町宮津,宮津弁天の岩場,42.2102345,139.5435775,ok,"宮津, 奥尻町, 奥尻郡, 檜山振興局, 北海道, 北海道地方, 043-1403, 日本"
北海道,第7緑龍(ヒウゲイルア),北海道天塩郡幌延町,パンケ沼の中央湖底,45.0175638,141.8493352,ok,"幌延町, 天塩郡, 宗谷総合振興局, 北海道, 北海道地方, 098-2941, 日本"
北海道,第9緑鳳(ヨウゲギール),北海道斜里郡斜里町遠音別村,知床五湖の中の(三湖),44.20071,145.239501,ok,"遠音別村, 斜里町, 斜里郡, オホーツク総合振興局, 北海道, 北海道地方, 日本"
北海道,第5緑武(ケオイリーケ),北海道苫小牧市字植苗,ウトナイ湖の湖底,42.718511,141.676558,ok,"植苗, 苫小牧市, 胆振総合振興局, 北海道, 北海道地方, 059-1365, 日本"
北海道,第2黄麟(キーリ),北海道上川郡上川町層雲峡,層雲峡の大函(おおばこ)峡,43.727881,142.951303,ok,"層雲峡, 国道39号, 層雲峡, 上川町, 上川郡(石狩国), 上川総合振興局, 北海道, 北海道地方, 078-1792, 日本"
北海道,第7黄武(レーゲアオル),北海道勇払郡占冠村シムカップ,赤岩青巖(せいがん)峡の二つ岩の流域,42.9833545,142.4114654,ok,"占冠IC, 道東自動車道, 字シムカップ原野, 占冠村, 勇払郡, 上川総合振興局, 北海道, 北海道地方, 日本"
北海道,第1橙龍(ヌイキリクレ),北海道上川郡東川町ノカナン,大雪山連峰の旭岳(2290m),43.660756,142.712733,ok,"ノカナン, 東川町, 上川郡(石狩国), 上川総合振興局, 北海道, 北海道地方, 日本"
北海道,第5橙麟(ルアニーエ),北海道釧路市阿寒町,雄阿寒岳(1370m)・阿寒湖,43.1129124,144.1236227,ok,"阿寒町, 釧路市, 釧路総合振興局, 北海道, 北海道地方, 085-0292, 日本"
北海道,第5赤龍(レエエオオン),オホーツク海(宗谷岬から北西約30km沖合),,,,failed,
北海道,第1赤麟(ヘヨイリエリ),北太平洋(色丹島から北東に約150km沖合),,,,failed,
北海道,第8赤麟(ヘウエオオガ),北海道岩見沢市栗沢町,,43.124886,141.941392,ok,"栗沢町美流渡楓町, 岩見沢市, 空知総合振興局, 北海道, 北海道地方, 068-3183, 日本"
北海道,第8赤鳳(ヨイクイール),日本海(積丹半島の神威岬から真西に約230km沖合),,,,failed,
北海道,第8赤武(スエレン),太平洋(北海道襟裳岬から真南に約20km沖合),,,,failed,
青森県,第2白武(ネフオリエン),青森県睦市川内町福浦山,川内ダムの水源地(縫道石山626m)川内川源流点,,,failed,
青森県,第5白銀武(ビメルニズワ),青森県下北郡東通村,尻屋埼(灯台)海岸突端部,41.277613,141.3290738,ok,"東通村, 下北郡, 青森県, 日本"
青森県,第5銀鳳(ケウレコーケ),青森県東津軽郡外ヶ浜町,龍飛崎の先端岩石,41.0430897,140.6318351,ok,"外ヶ浜町, 東津軽郡, 青森県, 日本"
青森県,第2群青龍(ハイコカエゲ),青森県十和田市奥瀬十和田湖,中山半島の錦ヶ浦から200m沖合の湖底,40.4281533,140.8943461,ok,"十和田湖郵便局, 十和田市, 青森県, 018-5599, 日本"
青森県,第3青武(ツイキケオリ),青森県北津軽郡中泊町小泊,小泊岬(権現岬)の突端の岩場,41.127884,140.3034555,ok,"小泊, 中泊町, 北津軽郡, 青森県, 037-0514, 日本"
青森県,第1緑麟(リーヌプオン),青森県西津軽郡深浦町大字松神,十二湖の中の青池(マリンブルー),40.5439131,139.9479459,ok,"松神, 深浦町, 西津軽郡, 青森県, 038-2206, 日本"
青森県,第8黄麟(クエケフイル),青森県十和田市大字奥瀬,奥入瀬渓流の(阿修羅の流れ)付近,40.5853042,141.1088188,ok,"奥瀬, 十和田市, 青森県, 034-0399, 日本"
