fix_priority,fix_category,name,prefecture,landmark,lat,lng,reliability,reason
1,①座標重複（同一座標に複数スポット）,第4金武(ヘイルエエン),三重県,皇大神宮別宮(瀧原宮: 若宮神社の本殿:水神),34.36597922,136.4262408,low,同一座標重複
1,①座標重複（同一座標に複数スポット）,第6群青麟(ヨエイアオイ),三重県,瀧原宮(たきはらのみや)の境内の小川,34.36604542,136.4258634,low,同一座標重複
1,①座標重複（同一座標に複数スポット）,第9銀龍(ベウキニエレ),三重県,伊勢神宮「月夜見宮(豊受大神宮別宮)」創造主セザナ神の本殿(返り御霊所在地)、本殿手前の一番大きな杉の巨木に龍管が入力している。,34.4928997,136.7059878,low,同一座標重複
1,①座標重複（同一座標に複数スポット）,第9黒麟(ロキーナエル),三重県,「(伊勢神宮別宮)月夜見宮(豊受大神宮別宮)」創造主セザナ神の本殿(返り御霊所在地)、本殿に龍管が入力し、魔界ナグは本殿の御霊の中に開いている。:【ヤエゲリア龍神】,34.4928997,136.7059878,low,同一座標重複
1,①座標重複（同一座標に複数スポット）,第1黒鳳(ズイヨケオン),兵庫県,「岩上神社」の巨石(神籠石: ひもろぎいし)に龍管が入力しており、朱塗りの本殿に魔界ナグが開いている。,34.440518748310964,134.84138722417387,low,同一座標重複
1,①座標重複（同一座標に複数スポット）,第2赤龍(ルエイニオル),兵庫県,,,,low,同一座標重複
1,①座標重複（同一座標に複数スポット）,第1橙龍(ヌイキリクレ),北海道,大雪山連峰の旭岳(2290m),43.6850658,142.8063076,low,同一座標重複
1,①座標重複（同一座標に複数スポット）,第1赤麟(ヘヨイリエリ),北海道,,44.76801107,148.3248353,low,同一座標重複
1,①座標重複（同一座標に複数スポット）,第5白龍(ウグ・ヨルチ),北海道,大雪山(白雲岳山頂 2230m),43.6850658,142.8063076,low,同一座標重複
1,①座標重複（同一座標に複数スポット）,第5赤龍(レエエオオン),北海道,,43.2203266,142.8634737,low,同一座標重複
1,①座標重複（同一座標に複数スポット）,第8赤武(スエレン),北海道,,43.2203266,142.8634737,low,同一座標重複
1,①座標重複（同一座標に複数スポット）,第8赤鳳(ヨイクイール),北海道,,43.2203266,136.5218898,low,同一座標重複
1,①座標重複（同一座標に複数スポット）,第8赤麟(ヘウエオオガ),北海道,,43.11984877,141.7398797,low,同一座標重複
1,①座標重複（同一座標に複数スポット）,第9白麟(ネオア・ユキ),北海道,龍神島最東端のエイタンノット岬,43.3853916,145.8173768,low,同一座標重複
1,①座標重複（同一座標に複数スポット）,第5緑麟(ルエリキオン),大分県,慈恩(じおん)の滝の滝壺,33.26487793,131.0683965,low,同一座標重複
1,①座標重複（同一座標に複数スポット）,第9赤鳳(イーオエヌ),大分県,,33.1589299,131.3611121,low,同一座標重複
1,①座標重複（同一座標に複数スポット）,第2赤鳳(ヤ・ヌエオオ),山梨県,,35.6635113,138.6388879,low,同一座標重複
1,①座標重複（同一座標に複数スポット）,第3赤龍(ビエゲバ),山梨県,,35.59411598,138.9374859,low,同一座標重複
1,①座標重複（同一座標に複数スポット）,第5橙龍(ナケエグオ),山梨県,明石山脈(白峰領) 布引山(2583m),35.40880242,138.2579778,low,同一座標重複
1,①座標重複（同一座標に複数スポット）,第7銀麟(フク・ヨエイ),山梨県,昇仙峡(仙娥滝付近) 金櫻神社,35.7694028,138.5559021,low,同一座標重複
